FECHA  HORA  TEMP  HUM  PNM  DD  FF  NOMBRE     
  [HOA]  [ºC]  [%]  [hPa]  [gr] [km/hr]   
01112020  0  17.1  76  1024.8  70  15  AEROPARQUE AERO    
01112020  1  16.3  71  1024.3  110  17  AEROPARQUE AERO    
01112020  2  16.1  64  1023.9  110  11  AEROPARQUE AERO    
01112020  3  16.2  75  1024.1  70  9  AEROPARQUE AERO    
01112020  4  16.1  77  1023.9  50  13  AEROPARQUE AERO    
01112020  5  16.0  78  1023.9  20  15  AEROPARQUE AERO    
01112020  6  15.7  77  1024.3  360  17  AEROPARQUE AERO    
01112020  7  16.1  72  1024.6  360  15  AEROPARQUE AERO    
01112020  8  16.5  74  1024.8  340  11  AEROPARQUE AERO    
01112020  9  17.5  68  1024.8  340  11  AEROPARQUE AERO    
01112020  10  18.3  63  1024.6  360  9  AEROPARQUE AERO    
01112020  11  19.1  65  1024.3  50  9  AEROPARQUE AERO    
01112020  12  19.7  66  1023.9  50  11  AEROPARQUE AERO    
01112020  13  20.3  60  1023.4  70  11  AEROPARQUE AERO    
01112020  14  20.7  55  1022.7  70  13  AEROPARQUE AERO    
01112020  15  20.9  53  1021.9  110  15  AEROPARQUE AERO    
01112020  16  21.1  51  1021.1  90  20  AEROPARQUE AERO    
01112020  17  21.1  49  1020.6  90  20  AEROPARQUE AERO    
01112020  18  20.9  44  1020.5  110  20  AEROPARQUE AERO    
01112020  19  19.3  57  1020.3  110  24  AEROPARQUE AERO    
01112020  20  19.0  62  1020.1  110  20  AEROPARQUE AERO    
01112020  21  19.4  52  1020.3  110  22  AEROPARQUE AERO    
01112020  22  19.2  49  1020.6  110  26  AEROPARQUE AERO    
01112020  23  19.3  50  1020.7  90  22  AEROPARQUE AERO    
01112020  0  10.5  86  1024.6  50  6  AZUL AERO     
01112020  1  10.1  91  1024.4  70  2  AZUL AERO     
01112020  2  9.6  94  1024.1  0  0  AZUL AERO     
01112020  3  8.8  94  1023.8  0  0  AZUL AERO     
01112020  4  7.6  96  1024.0  0  0  AZUL AERO     
01112020  5  7.1  97  1023.8  140  4  AZUL AERO     
01112020  6  6.1  100  1024.2  90  4  AZUL AERO     
01112020  7  8.5  96  1024.6  90  6  AZUL AERO     
01112020  8  12.6  87  1024.7  50  6  AZUL AERO     
01112020  9  16.3  68  1024.5  320  11  AZUL AERO     
01112020  10  18.4  63  1024.1  320  13  AZUL AERO     
01112020  11  19.6  56  1023.7  320  13  AZUL AERO     
01112020  12  21.0  47  1023.3  320  9  AZUL AERO     
01112020  13  21.8  46  1022.6  360  11  AZUL AERO     
01112020  14  22.2  44  1022.0  360  15  AZUL AERO     
01112020  15  23.0  37  1021.4  360  17  AZUL AERO     
01112020  16  23.2  32  1020.6  360  17  AZUL AERO     
01112020  17  23.2  35  1020.0  50  15  AZUL AERO     
01112020  18  22.2  37  1020.0  360  19  AZUL AERO     
01112020  19  21.4  41  1019.7  50  13  AZUL AERO     
01112020  20  19.0  52  1019.7  360  9  AZUL AERO     
01112020  21  17.5  63  1019.8  50  9  AZUL AERO     
01112020  22  15.9  69  1020.0  360  7  AZUL AERO     
01112020  23  13.7  82  1020.1  50  7  AZUL AERO     
01112020  0  9.6  73  1023.0  360  9  BAHIA BLANCA AERO    
01112020  1  9.0  79  1023.0  360  9  BAHIA BLANCA AERO    
01112020  2  8.2  81  1022.7  360  19  BAHIA BLANCA AERO    
01112020  3  7.6  82  1022.5  360  15  BAHIA BLANCA AERO    
01112020  4  6.7  85  1022.3  360  15  BAHIA BLANCA AERO    
01112020  5  6.4  85  1022.3  360  13  BAHIA BLANCA AERO    
01112020  6  6.1  85  1022.4  360  9  BAHIA BLANCA AERO    
01112020  7  8.1  81  1022.7  360  9  BAHIA BLANCA AERO    
01112020  8  15.0  66  1022.8  360  7  BAHIA BLANCA AERO    
01112020  9  19.5  41  1022.8  340  19  BAHIA BLANCA AERO    
01112020  10  22.2  32  1022.4  340  22  BAHIA BLANCA AERO    
01112020  11  23.8  26  1021.9  340  19  BAHIA BLANCA AERO    
01112020  12  25.5  25  1021.5  320  13  BAHIA BLANCA AERO    
01112020  13  26.5  22  1020.5  320  11  BAHIA BLANCA AERO    
01112020  14  27.0  21  1019.8  320  9  BAHIA BLANCA AERO    
01112020  15  27.9  20  1019.0  320  9  BAHIA BLANCA AERO    
01112020  16  27.4  19  1018.4  360  13  BAHIA BLANCA AERO    
01112020  17  27.5  20  1017.6  360  9  BAHIA BLANCA AERO    
01112020  18  27.2  21  1017.0  360  6  BAHIA BLANCA AERO    
01112020  19  25.0  33  1016.8  340  7  BAHIA BLANCA AERO    
01112020  20  19.6  49  1017.1  360  7  BAHIA BLANCA AERO    
01112020  21  17.2  56  1017.7  360  7  BAHIA BLANCA AERO    
01112020  22  14.3  67  1018.8  20  9  BAHIA BLANCA AERO    
01112020  23  12.8  73  1018.8  20  9  BAHIA BLANCA AERO    
01112020  0  13.1  37  1525.0  180  13  BARILOCHE AERO   
01112020  1  11.2  43  1526.0  180  9  BARILOCHE AERO   
01112020  2  10.8  44  1525.0  180  11  BARILOCHE AERO   
01112020  3  10.2  47  1522.0  180  9  BARILOCHE AERO   
01112020  4  8.6  53  1519.0  180  9  BARILOCHE AERO   
01112020  5  6.6  61  1519.0  0  0  BARILOCHE AERO   
01112020  6  5.5  65  1521.0  0  0  BARILOCHE AERO   
01112020  7  5.4  65  1522.0  0  0  BARILOCHE AERO   
01112020  8  8.4  57  1525.0  990  4  BARILOCHE AERO   
01112020  9  12.4  52  1525.0  990  4  BARILOCHE AERO   
01112020  10  16.6  38  1521.0  990  4  BARILOCHE AERO   
01112020  11  19.2  36  1519.0  320  6  BARILOCHE AERO   
01112020  12  21.8  25  1518.0  320  9  BARILOCHE AERO   
01112020  13  23.7  21  1512.0  320  9  BARILOCHE AERO   
01112020  14  25.4  16  1508.0  290  13  BARILOCHE AERO   
01112020  15  26.9  15  1504.0  320  17  BARILOCHE AERO   
01112020  16  28.0  13  1499.0  320  17  BARILOCHE AERO   
01112020  17  27.2  14  1492.0  320  19  BARILOCHE AERO   
01112020  18  26.9  17  1490.0  320  22  BARILOCHE AERO   
01112020  19  24.8  21  1488.0  320  26  BARILOCHE AERO   
01112020  20  20.9  31  1490.0  290  19  BARILOCHE AERO   
01112020  21  19.3  36  1497.0  270  15  BARILOCHE AERO   
01112020  22  17.8  43  1505.0  290  19  BARILOCHE AERO   
01112020  23  16.3  53  1509.0  270  11  BARILOCHE AERO   
01112020  0 -12.9  89  987.7  140  28  BASE BELGRANO II    
01112020  3 -12.5  89  986.1  140  56  BASE BELGRANO II    
01112020  6  -9.1  88  985.5  180  41  BASE BELGRANO II    
01112020  9  -6.0  94  984.8  0  0  BASE BELGRANO II    
01112020  12  -4.2  71  982.1  110  7  BASE BELGRANO II    
01112020  15  -8.0  81  981.2  110  13  BASE BELGRANO II    
01112020  18 -10.6  84  978.4  110  17  BASE BELGRANO II    
01112020  21 -10.6  90  975.8  270  28  BASE BELGRANO II    
01112020  0  -2.5  92  1012.5  230  30  BASE CARLINI (EX JUBANY)   
01112020  3  -2.7  95  1013.2  320  41  BASE CARLINI (EX JUBANY)   
01112020  6  -3.1  90  1013.7  320  44  BASE CARLINI (EX JUBANY)   
01112020  9  -2.3  83  1013.3  320  22  BASE CARLINI (EX JUBANY)   
01112020  12  .5  73  1013.3  290  20  BASE CARLINI (EX JUBANY)   
01112020  15  2.1  87  1012.3  270  31  BASE CARLINI (EX JUBANY)   
01112020  18  3.4  97  1011.2  320  39  BASE CARLINI (EX JUBANY)   
01112020  21  2.8  97  1009.2  320  48  BASE CARLINI (EX JUBANY)   
01112020  0  -3.5  94  1006.2  230  7  BASE ESPERANZA   
01112020  3  4.7  52  1005.7  340  24  BASE ESPERANZA   
01112020  6  1.4  44  1006.1  140  9  BASE ESPERANZA   
01112020  9  5.7  53  1006.7  270  41  BASE ESPERANZA   
01112020  12  6.3  48  1005.3  250  48  BASE ESPERANZA   
01112020  15  8.7  31  1004.9  250  46  BASE ESPERANZA   
01112020  18  6.5  58  1002.4  250  63  BASE ESPERANZA   
01112020  21  2.1  78  1003.1  270  44  BASE ESPERANZA   
01112020  0  -2.4  81  1004.4  320  26  BASE MARAMBIO    
01112020  1  -1.6  74  1004.1  320  24  BASE MARAMBIO    
01112020  2  1.0  59  1003.6  290  24  BASE MARAMBIO    
01112020  3  2.4  52  1003.8  290  26  BASE MARAMBIO    
01112020  4  6.8  31  1003.8  230  33  BASE MARAMBIO    
01112020  5  6.2  29  1004.6  230  30  BASE MARAMBIO    
01112020  6  4.8  30  1005.3  230  20  BASE MARAMBIO    
01112020  7  5.2  33  1005.5  230  20  BASE MARAMBIO    
01112020  8  6.4  27  1005.5  230  19  BASE MARAMBIO    
01112020  9  7.6  33  1005.4  250  7  BASE MARAMBIO    
01112020  10  5.8  39  1004.9  320  9  BASE MARAMBIO    
01112020  11  9.0  39  1004.0  340  11  BASE MARAMBIO    
01112020  12  8.8  39  1003.8  320  11  BASE MARAMBIO    
01112020  13  10.2  44  1003.3  290  9  BASE MARAMBIO    
01112020  14  9.4  33  1002.9  290  15  BASE MARAMBIO    
01112020  15  6.8  39  1002.4  320  19  BASE MARAMBIO    
01112020  16  8.5  43  1001.7  290  20  BASE MARAMBIO    
01112020  17  7.3  47  1001.2  290  22  BASE MARAMBIO    
01112020  18  6.3  53  1000.8  290  22  BASE MARAMBIO    
01112020  19  5.7  57  999.9  320  15  BASE MARAMBIO    
01112020  20  3.9  77  999.1  320  41  BASE MARAMBIO    
01112020  21  3.1  83  997.9  320  46  BASE MARAMBIO    
01112020  22  2.9  84  996.4  320  50  BASE MARAMBIO    
01112020  23  3.4  93  995.7  320  43  BASE MARAMBIO    
01112020  3  -3.0  97  1011.2  320  9  BASE ORCADAS   
01112020  9  .7  94  1014.3  290  11  BASE ORCADAS   
01112020  15  .0  96  1013.5  320  28  BASE ORCADAS   
01112020  21  -1.7  99  1013.5  320  22  BASE ORCADAS   
01112020  0  1.1  81  1003.6  160  15  BASE SAN MARTIN    
01112020  3  .1  79  1004.2  140  7  BASE SAN MARTIN    
01112020  6  -1.3  85  1003.0  200  4  BASE SAN MARTIN    
01112020  9  1.0  79  1002.0  160  15  BASE SAN MARTIN    
01112020  12  1.9  84  1000.1  140  15  BASE SAN MARTIN    
01112020  15  2.9  80  997.3  160  9  BASE SAN MARTIN    
01112020  18  6.8  60  993.4  200  13  BASE SAN MARTIN    
01112020  21  2.7  79  988.3  140  11  BASE SAN MARTIN    
01112020  6  12.8  89  1519.0  90  4  BERNARDO DE IRIGOYEN AERO  
01112020  7  14.6  81  1523.0  90  4  BERNARDO DE IRIGOYEN AERO  
01112020  8  17.0  72  1531.0  90  4  BERNARDO DE IRIGOYEN AERO  
01112020  9  18.0  67  1530.0  50  9  BERNARDO DE IRIGOYEN AERO  
01112020  10  19.6  60  1532.0  50  9  BERNARDO DE IRIGOYEN AERO  
01112020  11  21.8  51  1532.0  180  15  BERNARDO DE IRIGOYEN AERO  
01112020  12  21.6  47  1526.0  180  15  BERNARDO DE IRIGOYEN AERO  
01112020  13  24.0  41  1523.0  180  15  BERNARDO DE IRIGOYEN AERO  
01112020  14  23.5  41  1515.0  160  9  BERNARDO DE IRIGOYEN AERO  
01112020  15  24.2  38  1511.0  200  15  BERNARDO DE IRIGOYEN AERO  
01112020  16  24.4  35  1506.0  160  15  BERNARDO DE IRIGOYEN AERO  
01112020  17  23.8  34  1501.0  180  9  BERNARDO DE IRIGOYEN AERO  
01112020  18  22.4  40  1501.0  180  9  BERNARDO DE IRIGOYEN AERO  
01112020  19  20.2  45  1504.0  180  9  BERNARDO DE IRIGOYEN AERO  
01112020  20  18.5  49  1504.0  180  4  BERNARDO DE IRIGOYEN AERO  
01112020  21  17.8  50  1508.0  180  4  BERNARDO DE IRIGOYEN AERO  
01112020  6  9.3  92  1023.8  0  0  BOLIVAR AERO   
01112020  7  9.9  89  1024.0  0  0  BOLIVAR AERO   
01112020  8  13.0  80  1024.0  360  4  BOLIVAR AERO   
01112020  9  17.2  73  1024.0  360  9  BOLIVAR AERO   
01112020  10  19.8  61  1023.6  360  9  BOLIVAR AERO   
01112020  11  21.6  53  1023.1  360  9  BOLIVAR AERO   
01112020  12  22.9  44  1022.3  360  9  BOLIVAR AERO   
01112020  13  23.5  43  1021.7  360  9  BOLIVAR AERO   
01112020  14  24.1  43  1021.0  360  9  BOLIVAR AERO   
01112020  15  24.6  45  1020.4  360  4  BOLIVAR AERO   
01112020  16  24.6  43  1019.6  360  4  BOLIVAR AERO   
01112020  17  24.0  44  1019.3  50  4  BOLIVAR AERO   
01112020  18  23.4  44  1019.0  50  9  BOLIVAR AERO   
01112020  19  21.0  53  1019.0  50  9  BOLIVAR AERO   
01112020  20  18.2  64  1019.2  50  4  BOLIVAR AERO   
01112020  21  17.4  64  1019.3  50  4  BOLIVAR AERO   
01112020  0  17.4  77  1024.5  50  7  BUENOS AIRES OBSERVATORIO  
01112020  1  17.0  68  1024.1  360  6  BUENOS AIRES OBSERVATORIO  
01112020  2  16.1  67  1023.8  90  2  BUENOS AIRES OBSERVATORIO  
01112020  3  15.4  74  1023.8  50  2  BUENOS AIRES OBSERVATORIO  
01112020  4  16.3  77  1023.6  360  11  BUENOS AIRES OBSERVATORIO  
01112020  5  16.0  78  1023.6  320  4  BUENOS AIRES OBSERVATORIO  
01112020  6  15.6  77  1024.1  360  7  BUENOS AIRES OBSERVATORIO  
01112020  7  15.9  72  1024.4  360  7  BUENOS AIRES OBSERVATORIO  
01112020  8  16.9  62  1024.6  320  7  BUENOS AIRES OBSERVATORIO  
01112020  9  18.9  58  1024.5  320  9  BUENOS AIRES OBSERVATORIO  
01112020  10  20.9  52  1024.2  320  7  BUENOS AIRES OBSERVATORIO  
01112020  11  22.6  46  1023.9  360  9  BUENOS AIRES OBSERVATORIO  
01112020  12  22.9  43  1023.6  360  7  BUENOS AIRES OBSERVATORIO  
