Suburb,Rooms,Type,Price,Method,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,zipcode,airbnb_price_mean,airbnb_record_count,airbnb_weekly_price_mean,airbnb_monthly_price_mean
Abbotsford,2,h,1480000.0,S,3067.0,1.0,1.0,202.0,,,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
Abbotsford,3,h,850000.0,PI,3067.0,2.0,1.0,94.0,,,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
Abbotsford,4,h,1600000.0,VB,3067.0,1.0,2.0,120.0,142.0,2014.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
Abbotsford,2,h,941000.0,S,3067.0,1.0,0.0,181.0,,,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
Abbotsford,3,h,1876000.0,S,3067.0,2.0,0.0,245.0,210.0,1910.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
Abbotsford,1,u,300000.0,S,3067.0,1.0,1.0,484.39035916824196,,,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
Abbotsford,2,u,700000.0,VB,3067.0,2.0,1.0,484.39035916824196,,,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
Abbotsford,3,h,1350000.0,VB,3067.0,2.0,2.0,214.0,190.0,2005.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
Abbotsford,2,u,750000.0,S,3067.0,2.0,1.0,484.39035916824196,94.0,2009.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
Abbotsford,2,h,1172500.0,S,3067.0,1.0,1.0,195.0,,,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
Abbotsford,1,u,441000.0,SP,3067.0,1.0,1.0,484.39035916824196,,,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
Abbotsford,3,h,955000.0,S,3067.0,1.0,0.0,183.0,,,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516
